ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;12;5130;"MAC OVOS AMALIA 500G CABELO ANJO";269.15;0;0;181.89;181.89
2022;12;7631;"LENCOS UMEDEC PAMPERS 48UN TRAD";441.74;0;0;288.23;288.23
2022;12;5424;"LAVA R LIQ OMO 900ML RF LAV PER";4214.06;389.8;0;2858.92;2921.29
2022;12;4438;"GUARDANAPO SNOB 33X30CM";1864.06;172.43;0;1080.01;1080.11
2022;12;29841;"SAB LIQ INTIMO HIDRADERM 200ML FRESH";888.78;82.21;0;532.01;532.01
2022;12;16343;"ABS ABAS SC ALWAYS NOT ACTIVE 8UN";1348.7;124.75;0;768.35;768.35
2022;12;21391;"INSET AERO SBP MULTI 450ML PROMO EUCALIPTO";3417.72;874.79;0;1449.5;1449.92
2022;12;4876;"MOLHO BARBECUE HEMMER 1KG";1534.72;141.96;0;976.4;977.63
2022;12;24817;"LENCOS DEMAQ ISACARE PREMIUM 20UN";629.15;0;0;385.19;385.16
2022;12;7206;"ESPONJA SCOTCH BRITE METALICA";2277.69;210.69;0;1287.61;1287.61
2022;12;9607;"REFRESCO MID ZR FIT 8G ABAC";101.47;25.95;0;45.68;45.68
2022;12;27841;"MIST BOLO D BENTA 450G AIPIM";410.56;37.98;0;236.61;237.27
2022;12;7664;"LIGACAO MANGUEIRA TRAMONTINA 0.5";64.9;16.58;0;18.37;18.48
2022;12;1042;"ESCOVA D INF DENTIL CENTOPEIA";729.8;0;0;357.95;357.94
2022;12;30631;"SAB PROTEX 80G PRO HIDRATACAO";385.59;0;.6;282.09;282.69
2022;12;30630;"SAB PROTEX 80G PRO DEFESA";435.88;0;1.2;319.88;321.08
2022;12;9836;"FRALDINHA KG";16439.48;0;0;13125.16;13126.02
2022;12;27515;"BEB LAC PULSI 900G SC MGO";689.01;0;0;476.28;476.28
2022;12;20313;"AMAC COMFORT 1.8L EXP AZUL";5866.17;542.62;0;4114.55;4163.74
2022;12;11156;"LASANHA SADIA 600G FGO";914.48;0;0;655.51;655.51
2022;12;25284;"DESINF MARINA 2L MARINE";1043.89;267.36;0;491.71;492.95
2022;12;30443;"BISC INT AYMORE CER MIX 135G CHOCO AVELA";2176.33;201.31;0;1518.93;1518.97
2022;12;1300;"VODKA BRA SMIRNOFF ICE 275ML ORIG";13639.26;1261.63;0;9361.07;11241.6
2022;12;27255;"ESCOVA D INF GREEN KIDS MACIA POCOYO";468.8;0;0;250.11;250.11
2022;12;18209;"PORTA COPOS ARTHI COOK 6PC";91.8;23.48;0;33.02;33.02
2022;12;7038;"BISC BIG POLV PALITO QJO 250G";7627.77;1288.9;0;3499.76;3499.8
2022;12;9137;"PROT CAREFREE 15UN BRISA";815.53;75.44;0;476.17;476.46
2022;12;29654;"COPO VD DYNASTY ALTO 330ML JORDAN";418.35;38.7;0;266.39;266.4
2022;12;4353;"DESOD AERO M AXE 152ML URBAN URBAN";3375.69;0;0;2067.81;2067.81
2022;12;7135;"SAB LIQ HIDRAMAIS 500ML ERVA DOCE";881.39;0;0;585.34;585.34
2022;12;21554;"ENXAG ZR CLOSE UP FRESH L500P350ML RED HOT";916.98;0;0;612.63;615.51
2022;12;17841;"LEITE LV Z LAC INT NINHO 1L";2512.83;0;0;1957.1;1957.1
2022;12;10751;"LEITE LV SEMID ITAMBE 1L";2172.97;0;0;1812.16;1812.17
2022;12;10852;"SOBRECOXA SADIA 1KG BD";12177.24;0;0;8287.99;8288
2022;12;17289;"NECTAR MAGUARY 1L MARACUJA";712.62;65.92;0;437.43;437.43
2022;12;11337;"SALAME ITA PERDIGAO KG FINO";1290.8;119.4;0;813.19;813.19
2022;12;26902;"BEB BRA EXTRA ICE 300ML MARAC";660.79;61.12;0;359;359.32
2022;12;30881;"CR D SORRISO 120G HERBAL SALVIA EUCALIPT";921.36;0;0;657.36;657.36
2022;12;10600;"IOG LIQ NESTLE NINHO 100G MACA BAN";1382.23;0;0;974.84;974.84
2022;12;16019;"DESOD AERO F SUAVE 150ML INVISIBLE";1148.85;0;0;710.97;710.98
